,Date,Volume,Trade_value,Opening,Highest,Lowest,Closing,Change,Transaction
127,20191115,29038445,8891701115,305.5,307.5,304.5,307.0,3.5,8672
128,20191118,18741325,5796331075,308.5,311.0,307.0,311.0,4.0,8420
129,20191119,33096197,10365611120,312.5,315.0,311.0,315.0,4.0,11121
130,20191120,24538973,7681229345,314.0,314.0,312.0,313.5,-1.5,9143
131,20191121,30163833,9329845096,309.5,311.0,307.0,311.0,-2.5,11638
132,20191122,26492984,8188665024,310.0,310.5,308.0,309.0,-2.0,9407
133,20191125,19855177,6133713443,310.5,310.5,307.0,307.0,-2.0,8067
134,20191126,101916622,31332308518,310.0,310.5,307.0,307.0,0.0,10321
135,20191127,18527648,5732316828,307.5,311.5,307.5,311.0,4.0,7916
136,20191128,19718982,6111322584,310.0,312.0,308.5,309.5,-1.5,9289
137,20191129,32423561,9922872967,309.0,309.5,305.0,305.0,-4.5,15368
138,20191001,75248890,20886838992,273.0,280.5,273.0,280.0,8.0,26648
139,20191002,30572953,8553297334,280.0,281.0,279.0,279.5,-0.5,12294
140,20191003,35874864,9891620358,274.0,277.5,274.0,276.5,-3.0,12853
141,20191004,35814613,9924872301,279.5,280.0,275.0,276.5,0.0,13780
142,20191007,17750230,4944376000,279.0,279.5,277.5,278.0,1.5,7757
143,20191008,39868551,11341522526,283.5,286.5,282.5,286.5,8.5,16721
144,20191009,34895456,9890256397,283.5,286.0,282.0,282.0,-4.5,14567
145,20191014,53403517,15508059122,291.5,291.5,288.5,290.0,8.0,17812
146,20191015,54754830,16088110873,293.5,296.0,292.0,293.5,3.5,15485
147,20191016,42917144,12670374493,298.0,298.0,293.5,296.5,3.0,16650
148,20191017,41920938,12296120182,295.0,295.5,292.0,293.5,-3.0,15170
149,20191018,45460984,13299843176,293.0,295.5,291.0,293.0,-0.5,18000
150,20191021,35860365,10389254035,291.0,291.0,288.5,290.0,-3.0,14682
151,20191022,26525020,7767636380,292.5,294.0,291.5,294.0,4.0,10186
152,20191023,30382408,8877572772,293.5,293.5,290.5,293.0,-1.0,11753
153,20191024,29040827,8488069650,294.5,294.5,291.0,293.0,0.0,10649
154,20191025,25082711,7362074526,294.5,294.5,292.5,293.5,0.5,11064
155,20191028,20216561,5958714595,295.0,295.5,294.0,294.5,1.0,9257
156,20191029,37130131,11044649541,297.0,298.5,296.5,298.5,4.0,14060
