,Rank,Stock_id,Company_name,Proportion
297,298,8210,勤誠,0.00035099999999999997
298,299,2545,皇翔,0.000348
299,300,1315,達新,0.00034700000000000003
300,301,1760,寶齡富錦,0.00034700000000000003
301,302,2478,大毅,0.000344
302,303,6451,訊芯-KY,0.000344
303,304,2850,新產,0.000342
304,305,1201,味全,0.000342
305,306,2851,中再保,0.000341
306,307,4919,新唐,0.000341
307,308,2014,中鴻,0.00034
308,309,2428,興勤,0.000339
309,310,8112,至上,0.000339
310,311,1726,永記,0.000338
311,312,4536,拓凱,0.000336
312,313,4119,旭富,0.000333
313,314,9930,中聯資源,0.00033099999999999997
314,315,3035,智原,0.000329
315,316,6582,申豐,0.000328
316,317,1532,勤美,0.00032599999999999996
317,318,6277,宏正,0.00032399999999999996
318,319,6282,康舒,0.00032
319,320,2913,農林,0.00032
320,321,9911,櫻花,0.00031600000000000004
321,322,2515,中工,0.000314
322,323,6706,惠特,0.00031099999999999997
323,324,2836,高雄銀,0.00031
324,325,2704,國賓,0.00030900000000000003
325,326,2534,宏盛,0.000308
326,327,4576,大銀微系統,0.000308
327,328,8213,志超,0.00030700000000000004
328,329,8070,長華,0.00030700000000000004
329,330,8163,達方,0.000305
330,331,1582,信錦,0.000304
331,332,1305,華夏,0.000304
332,333,1718,中纖,0.000304
333,334,8039,台虹,0.000298
334,335,9943,好樂迪,0.00029600000000000004
335,336,2034,允強,0.00029600000000000004
336,337,2908,特力,0.00029499999999999996
337,338,4968,立積,0.00029499999999999996
338,339,6206,飛捷,0.000294
339,340,5471,松翰,0.000294
340,341,1308,亞聚,0.000294
341,342,6579,研揚,0.000291
342,343,3703,欣陸,0.000291
343,344,3450,聯鈞,0.00029
344,345,5203,訊連,0.00029
345,346,6416,瑞祺電通,0.00029
346,347,2355,敬鵬,0.000288
347,348,3014,聯陽,0.000288
348,349,1110,東泥,0.000285
349,350,1307,三芳,0.000284
350,351,3090,日電貿,0.000284
351,352,8404,百和興業-KY,0.000284
352,353,2328,廣宇,0.000278
353,354,5531,鄉林,0.000276
354,355,3545,敦泰,0.000276
355,356,4977,眾達-KY,0.000275
356,357,5234,達興材料,0.000275
357,358,2547,日勝生,0.000272
358,359,1905,華紙,0.000271
359,360,6491,晶碩,0.00027
360,361,9919,康那香,0.000269
361,362,2614,東森,0.000268
362,363,2597,潤弘,0.000265
363,364,2397,友通,0.000261
364,365,1560,中砂,0.000261
365,366,4532,瑞智,0.000261
366,367,1310,台苯,0.000259
367,368,2323,中環,0.00025499999999999996
368,369,1614,三洋電,0.00025299999999999997
369,370,1225,福懋油,0.000249
370,371,2605,新興,0.000249
371,372,3049,和鑫,0.000249
372,373,6115,鎰勝,0.000249
373,374,1464,得力,0.000248
374,375,2351,順德,0.000248
375,376,6024,群益期,0.000246
376,377,6605,帝寶,0.00024400000000000002
377,378,3698,隆達,0.00024400000000000002
378,379,1558,伸興,0.00024400000000000002
379,380,2340,光磊,0.000243
380,381,2332,友訊,0.000242
381,382,4104,佳醫,0.000241
382,383,2481,強茂,0.000239
383,384,3708,上緯投控,0.000238
384,385,4414,如興,0.000237
385,386,6191,精成科,0.000237
386,387,3338,泰碩,0.000235
387,388,2536,宏普,0.000235
388,389,1604,聲寶,0.000235
389,390,1711,永光,0.000234
390,391,6525,捷敏-KY,0.000234
391,392,4906,正文,0.00023199999999999997
392,393,9924,福興,0.00023199999999999997
393,394,1712,興農,0.00023199999999999997
394,395,2031,新光鋼,0.00023199999999999997
395,396,2433,互盛電,0.00023099999999999998
396,397,9926,新海,0.00023
397,398,6177,達麗,0.000228
398,399,2102,泰豐,0.000228
399,400,1714,和桐,0.000228
400,401,5283,禾聯碩,0.00022700000000000002
401,402,2480,敦陽科,0.000223
402,403,2349,錸德,0.000222
403,404,1522,堤維西,0.000222
404,405,1231,聯華食,0.000221
405,406,2450,神腦,0.000221
406,407,2832,台產,0.000221
407,408,2375,凱美,0.00021999999999999998
408,409,2464,盟立,0.00021999999999999998
409,410,3704,合勤控,0.00021799999999999999
410,411,6192,巨路,0.00021600000000000002
411,412,3056,總太,0.00021600000000000002
412,413,2387,精元,0.000215
413,414,1256,鮮活果汁-KY,0.000215
414,415,1321,大洋,0.000213
415,416,2706,第一店,0.000213
416,417,1444,力麗,0.000212
417,418,1720,生達,0.000211
418,419,4994,傳奇,0.000211
419,420,1519,華城,0.00021
420,421,3022,威強電,0.00021
421,422,2363,矽統,0.00020899999999999998
422,423,3504,揚明光,0.00020899999999999998
423,424,6281,全國電,0.000206
424,425,1795,美時,0.000206
425,426,2535,達欣工,0.000206
426,427,3059,華晶科,0.000205
427,428,1203,味王,0.000205
428,429,2239,英利-KY,0.00020400000000000003
429,430,6581,鋼聯,0.00020400000000000003
430,431,8028,昇陽半導體,0.00020400000000000003
431,432,6715,嘉基,0.00020299999999999997
432,433,6120,達運,0.000202
433,434,2228,劍麟,0.000202
434,435,1583,程泰,0.000201
435,436,2617,台航,0.000201
436,437,2910,統領,0.000201
437,438,6184,大豐電,0.000201
438,439,3617,碩天,0.0002
439,440,8996,高力,0.0002
440,441,2401,凌陽,0.0002
441,442,2329,華泰,0.0002
442,443,2338,光罩,0.000199
443,444,9905,大華,0.000199
444,445,2331,精英,0.00019800000000000002
445,446,3003,健和興,0.000196
446,447,4763,材料-KY,0.000196
447,448,2939,凱羿-KY,0.000195
448,449,1609,大亞,0.000195
